distance_miles,time_of_day_hours,is_weekend,delivery_time_minutes
1.6,8.2,0,7.22
13.09,16.8,1,32.41
6.97,8.02,1,17.47
10.66,16.07,0,37.17
18.24,13.47,0,38.36
5.74,16.59,0,29.06
8.8,12.25,0,23.94
15.36,11.76,1,32.4
5.35,9.42,0,17.06
2.46,14.44,0,14.09
6.51,8.0,0,33.38
4.06,9.33,1,17.38
18.66,14.86,1,36.75
16.35,19.09,0,38.86
13.03,13.42,0,32.55
17.56,18.92,0,61.87
16.27,15.26,0,38.08
4.54,9.1,0,24.12
17.96,15.2,0,43.21
11.25,8.0,0,41.03
16.34,8.32,0,59.61
18.03,9.49,0,70.46
7.04,8.0,0,31.55
3.09,9.7,0,9.06
5.33,19.59,0,8.29
9.12,8.17,1,21.18
16.54,8.0,0,61.13
17.35,8.0,0,64.84
1.13,17.1,0,7.73
10.7,8.0,0,45.42
8.93,9.8,0,36.57
5.22,19.82,0,16.24
3.28,8.0,0,12.44
7.41,13.01,1,8.25
18.92,17.51,1,42.42
7.14,19.54,1,24.28
10.86,8.0,0,41.97
14.36,18.38,0,56.0
7.91,13.9,0,21.79
19.46,10.58,0,48.95
19.29,19.04,0,46.24
5.78,8.32,0,26.73
10.45,10.56,0,26.06
6.72,16.84,1,17.27
6.41,14.77,0,13.51
1.7,17.73,0,9.8
12.58,18.17,0,51.69
10.55,17.94,0,41.23
1.98,17.97,0,12.06
6.29,14.79,0,14.06
18.26,13.34,1,39.2
5.55,14.21,1,10.61
3.75,14.86,1,12.63
10.3,12.03,1,22.98
19.73,15.48,0,39.22
5.6,19.13,1,18.29
13.77,8.0,0,52.71
15.47,19.04,0,41.52
5.52,8.0,0,28.74
14.84,19.22,0,32.03
7.99,9.21,0,30.58
13.01,17.18,0,47.03
13.04,8.45,1,23.71
11.18,18.68,0,42.86
2.72,15.62,0,14.76
16.87,8.0,0,58.3
7.09,13.07,0,21.75
4.54,16.73,1,15.48
1.77,14.18,0,10.21
12.23,17.7,1,29.21
13.87,12.16,1,26.66
1.32,19.29,0,9.92
10.73,13.11,0,24.81
5.3,13.69,1,7.17
13.26,19.62,0,31.69
4.31,14.21,1,10.23
14.13,8.0,1,34.51
8.35,17.48,0,33.36
18.8,15.34,0,42.73
3.61,19.47,0,13.39
7.48,9.28,1,17.66
3.16,9.38,0,15.73
18.57,8.01,0,72.52
17.67,16.28,0,63.64
5.9,15.94,0,14.7
13.54,19.77,0,29.18
16.53,14.18,1,39.06
11.55,19.03,0,25.99
11.06,10.84,1,24.48
5.6,8.65,0,22.78
2.77,9.3,0,13.77
18.05,17.89,0,65.95
18.11,9.3,1,38.98
13.03,8.47,0,47.48
7.44,8.0,1,14.34
7.63,16.53,0,30.05
14.79,8.0,0,54.38
18.05,8.0,0,64.14
17.85,19.36,0,39.74
15.82,19.52,0,31.65
